"","sample.size","estimate","estimator","subset","simulation"
"43","100",-0.784091836243922,"t-learner","minimal.set","C"
"44","100",-0.822472724931887,"aipw","minimal.set","C"
"45","100",0.453741336517428,"tmle","minimal.set","C"
"46","100",0.538994982668307,"causal.forest","all.covariates.wrong","D"
"47","100",0.779581295681463,"ipw","all.covariates.wrong","D"
"48","100",0.628555741294369,"t-learner","all.covariates.wrong","D"
"49","100",0.250393323122102,"aipw","all.covariates.wrong","D"
"50","100",0.599433879019747,"tmle","all.covariates.wrong","D"
"51","100",0.65889033192953,"causal.forest","all.covariates.correct","D"
"52","100",0.70204041432348,"ipw","all.covariates.correct","D"
"53","100",0.623463563541392,"t-learner","all.covariates.correct","D"
"54","100",0.389848554122,"aipw","all.covariates.correct","D"
"55","100",0.716412102130372,"tmle","all.covariates.correct","D"
"56","100",0.396447066155703,"causal.forest","minimal.set","D"
"57","100",0.991077557762293,"ipw","minimal.set","D"
"58","100",0.587188083940651,"t-learner","minimal.set","D"
"59","100",0.414695083458845,"aipw","minimal.set","D"
"60","100",0.342985788340599,"tmle","minimal.set","D"
"61","100",0.7050924629448,"causal.forest","all.covariates.wrong","A"
"62","100",0.673935484357139,"ipw","all.covariates.wrong","A"
"63","100",0.819721668595854,"t-learner","all.covariates.wrong","A"
"64","100",0.805598513287727,"aipw","all.covariates.wrong","A"
"65","100",0.470861778756946,"tmle","all.covariates.wrong","A"
"66","100",0.648793109767842,"causal.forest","all.covariates.correct","A"
"67","100",0.794548899287082,"ipw","all.covariates.correct","A"
"68","100",0.80701637757535,"t-learner","all.covariates.correct","A"
"69","100",0.809311577756331,"aipw","all.covariates.correct","A"
"70","100",0.47720972767865,"tmle","all.covariates.correct","A"
"71","100",0.519988897856836,"causal.forest","minimal.set","A"
"72","100",0.955612826351656,"ipw","minimal.set","A"
"73","100",0.784929032007406,"t-learner","minimal.set","A"
"74","100",0.813362946481166,"aipw","minimal.set","A"
"75","100",0.474910930414291,"tmle","minimal.set","A"
"76","100",0.686496834277851,"causal.forest","all.covariates.wrong","B"
"77","100",0.721981643689501,"ipw","all.covariates.wrong","B"
"78","100",0.820109048942847,"t-learner","all.covariates.wrong","B"
"79","100",0.840704856765602,"aipw","all.covariates.wrong","B"
"80","100",0.892097450357956,"tmle","all.covariates.wrong","B"
"81","100",0.795975937737907,"causal.forest","all.covariates.correct","B"
"82","100",0.718027705906431,"ipw","all.covariates.correct","B"
"83","100",0.804768555943006,"t-learner","all.covariates.correct","B"
"84","100",0.782510770298498,"aipw","all.covariates.correct","B"
"85","100",0.905157123052767,"tmle","all.covariates.correct","B"
"86","100",0.833149444261533,"causal.forest","minimal.set","B"
"87","100",0.663323052086695,"ipw","minimal.set","B"
"88","100",0.774753738030016,"t-learner","minimal.set","B"
"89","100",0.739114781629723,"aipw","minimal.set","B"
"90","100",0.987727413329289,"tmle","minimal.set","B"
"91","100",-0.317316383379672,"causal.forest","all.covariates.wrong","C"
"92","100",-0.559725070700473,"ipw","all.covariates.wrong","C"
"93","100",-0.705719687846188,"t-learner","all.covariates.wrong","C"
"94","100",-0.746645925019732,"aipw","all.covariates.wrong","C"
"95","100",0.851173018056049,"tmle","all.covariates.wrong","C"
"96","100",-0.207952387020362,"causal.forest","all.covariates.correct","C"
"97","100",-0.996531309550353,"ipw","all.covariates.correct","C"
"98","100",-0.719352354680204,"t-learner","all.covariates.correct","C"
"99","100",-0.825347172063337,"aipw","all.covariates.correct","C"
"100","100",1.0427824169752,"tmle","all.covariates.correct","C"
"101","100",0.230687089160212,"causal.forest","minimal.set","C"
"102","100",-0.709093270843716,"ipw","minimal.set","C"
"103","100",-0.688508278048034,"t-learner","minimal.set","C"
"104","100",-0.687205865442401,"aipw","minimal.set","C"
"105","100",0.433697630712798,"tmle","minimal.set","C"
"106","100",0.476566291794444,"causal.forest","all.covariates.wrong","D"
"107","100",0.506980602733076,"ipw","all.covariates.wrong","D"
"108","100",0.535898405500702,"t-learner","all.covariates.wrong","D"
"109","100",0.511097563355834,"aipw","all.covariates.wrong","D"
"110","100",0.334793062337645,"tmle","all.covariates.wrong","D"
"111","100",0.441538485740065,"causal.forest","all.covariates.correct","D"
"112","100",0.623048139180813,"ipw","all.covariates.correct","D"
"113","100",0.556288681063618,"t-learner","all.covariates.correct","D"
"114","100",0.498594529700552,"aipw","all.covariates.correct","D"
"115","100",0.46518926954475,"tmle","all.covariates.correct","D"
"116","100",0.304486488247744,"causal.forest","minimal.set","D"
"117","100",0.509759292303002,"ipw","minimal.set","D"
"118","100",0.533383533003495,"t-learner","minimal.set","D"
"119","100",0.478775234740989,"aipw","minimal.set","D"
"120","100",0.192124203942877,"tmle","minimal.set","D"
"121","100",0.671339978261887,"causal.forest","all.covariates.wrong","A"
"122","100",1.00951006560851,"ipw","all.covariates.wrong","A"
"123","100",0.734825989398347,"t-learner","all.covariates.wrong","A"
"124","100",0.732379574814373,"aipw","all.covariates.wrong","A"
"125","100",0.496725674706281,"tmle","all.covariates.wrong","A"
"126","100",0.67487966353202,"causal.forest","all.covariates.correct","A"
"127","100",0.955950809901228,"ipw","all.covariates.correct","A"
"128","100",0.766039442918039,"t-learner","all.covariates.correct","A"
"129","100",0.735556010073181,"aipw","all.covariates.correct","A"
"130","100",0.534125009345992,"tmle","all.covariates.correct","A"
"131","100",0.478240362830394,"causal.forest","minimal.set","A"
"132","100",0.647998208196547,"ipw","minimal.set","A"
"133","100",0.727986318964365,"t-learner","minimal.set","A"
"134","100",0.683229402279636,"aipw","minimal.set","A"
"135","100",0.510481875498148,"tmle","minimal.set","A"
"136","100",0.705178041525773,"causal.forest","all.covariates.wrong","B"
"137","100",0.716624253156374,"ipw","all.covariates.wrong","B"
"138","100",0.66785058300058,"t-learner","all.covariates.wrong","B"
"139","100",0.661037556913773,"aipw","all.covariates.wrong","B"
"140","100",0.711155953113892,"tmle","all.covariates.wrong","B"
"141","100",0.7270531795561,"causal.forest","all.covariates.correct","B"
"142","100",0.705514549835776,"ipw","all.covariates.correct","B"
"143","100",0.719247049869424,"t-learner","all.covariates.correct","B"
"144","100",0.678624268207912,"aipw","all.covariates.correct","B"
"145","100",0.728524286895636,"tmle","all.covariates.correct","B"
"146","100",0.649082150205833,"causal.forest","minimal.set","B"
"147","100",0.8208612679025,"ipw","minimal.set","B"
"148","100",0.785382497353918,"t-learner","minimal.set","B"
"149","100",0.651354583536205,"aipw","minimal.set","B"
"150","100",0.698550027560818,"tmle","minimal.set","B"
"151","100",0.446980505906365,"causal.forest","all.covariates.wrong","C"
"152","100",0.468746823046519,"ipw","all.covariates.wrong","C"
"153","100",0.46891264301386,"t-learner","all.covariates.wrong","C"
"154","100",0.78478444401747,"aipw","all.covariates.wrong","C"
"155","100",0.905130572562217,"tmle","all.covariates.wrong","C"
"156","100",0.888108068221027,"causal.forest","all.covariates.correct","C"
"157","100",0.444509600586038,"ipw","all.covariates.correct","C"
"158","100",0.475097947957054,"t-learner","all.covariates.correct","C"
"159","100",0.59157282791721,"aipw","all.covariates.correct","C"
"160","100",1.00797605998934,"tmle","all.covariates.correct","C"
"161","100",1.60999639443843,"causal.forest","minimal.set","C"
"162","100",0.20873441768416,"ipw","minimal.set","C"
"163","100",0.378791942814698,"t-learner","minimal.set","C"
"164","100",0.752564834013446,"aipw","minimal.set","C"
"165","100",2.13147239332902,"tmle","minimal.set","C"
"166","100",0.907823720424204,"causal.forest","all.covariates.wrong","D"
"167","100",1.48495111374221,"ipw","all.covariates.wrong","D"
"168","100",1.16854515693022,"t-learner","all.covariates.wrong","D"
"169","100",1.27633030134023,"aipw","all.covariates.wrong","D"
"170","100",0.825809181275971,"tmle","all.covariates.wrong","D"
"171","100",1.2475602976937,"causal.forest","all.covariates.correct","D"
"172","100",1.4697632389686,"ipw","all.covariates.correct","D"
"173","100",1.22500517669905,"t-learner","all.covariates.correct","D"
"174","100",1.01254242528697,"aipw","all.covariates.correct","D"
"175","100",0.401592413777706,"tmle","all.covariates.correct","D"
"176","100",0.644832581216151,"causal.forest","minimal.set","D"
"177","100",NA,"ipw","minimal.set","D"
"178","100",1.14824914922728,"t-learner","minimal.set","D"
"179","100",NA,"aipw","minimal.set","D"
"180","100",0.310056181899849,"tmle","minimal.set","D"
"181","100",0.703872487918832,"causal.forest","all.covariates.wrong","A"
"182","100",0.750611969858725,"ipw","all.covariates.wrong","A"
"183","100",0.847416281201883,"t-learner","all.covariates.wrong","A"
"184","100",0.891919515986863,"aipw","all.covariates.wrong","A"
"185","100",0.620950584032922,"tmle","all.covariates.wrong","A"
"186","100",0.715699519196287,"causal.forest","all.covariates.correct","A"
"187","100",0.693181163122688,"ipw","all.covariates.correct","A"
"188","100",0.829315195481521,"t-learner","all.covariates.correct","A"
"189","100",0.866994772199735,"aipw","all.covariates.correct","A"
"190","100",0.610441140443688,"tmle","all.covariates.correct","A"
"191","100",0.54703471723292,"causal.forest","minimal.set","A"
"192","100",0.809341647336897,"ipw","minimal.set","A"
"193","100",0.845565509458593,"t-learner","minimal.set","A"
"194","100",0.830103343638929,"aipw","minimal.set","A"
"195","100",0.615042765729233,"tmle","minimal.set","A"
"196","100",0.763250319065446,"causal.forest","all.covariates.wrong","B"
"197","100",0.777897491917681,"ipw","all.covariates.wrong","B"
"198","100",0.848884822930634,"t-learner","all.covariates.wrong","B"
"199","100",0.808462198579538,"aipw","all.covariates.wrong","B"
"200","100",0.786841966177782,"tmle","all.covariates.wrong","B"
"201","100",0.785376365726624,"causal.forest","all.covariates.correct","B"
"202","100",0.850053908298203,"ipw","all.covariates.correct","B"
"203","100",0.802819781021944,"t-learner","all.covariates.correct","B"
"204","100",0.811937458957142,"aipw","all.covariates.correct","B"
"205","100",0.770563180400766,"tmle","all.covariates.correct","B"
"206","100",0.869423743763458,"causal.forest","minimal.set","B"
"207","100",0.713024888520263,"ipw","minimal.set","B"
"208","100",0.857412418859202,"t-learner","minimal.set","B"
"209","100",0.735471592121599,"aipw","minimal.set","B"
"210","100",0.912300775675863,"tmle","minimal.set","B"
"211","100",0.00117016797287399,"causal.forest","all.covariates.wrong","C"
"212","100",0.00676199773130329,"ipw","all.covariates.wrong","C"
"213","100",-0.263903839856481,"t-learner","all.covariates.wrong","C"
"214","100",-0.269301413735277,"aipw","all.covariates.wrong","C"
"215","100",0.763869402075496,"tmle","all.covariates.wrong","C"
"216","100",0.0467261352376221,"causal.forest","all.covariates.correct","C"
"217","100",-0.0617988397929931,"ipw","all.covariates.correct","C"
"218","100",-0.201502684473687,"t-learner","all.covariates.correct","C"
"219","100",-0.263513931586502,"aipw","all.covariates.correct","C"
"220","100",0.802302446150109,"tmle","all.covariates.correct","C"
"221","100",0.718409196309045,"causal.forest","minimal.set","C"
"222","100",-0.381741809712914,"ipw","minimal.set","C"
"223","100",-0.195867962848219,"t-learner","minimal.set","C"
"224","100",-0.588065335320646,"aipw","minimal.set","C"
"225","100",1.27931038963149,"tmle","minimal.set","C"
"226","100",0.716355934433614,"causal.forest","all.covariates.wrong","D"
"227","100",1.32796597667282,"ipw","all.covariates.wrong","D"
"228","100",0.725109495863937,"t-learner","all.covariates.wrong","D"
"229","100",0.782073368377413,"aipw","all.covariates.wrong","D"
"230","100",0.477083897267723,"tmle","all.covariates.wrong","D"
"231","100",0.745358711374204,"causal.forest","all.covariates.correct","D"
"232","100",0.66942918130957,"ipw","all.covariates.correct","D"
"233","100",0.731117739849001,"t-learner","all.covariates.correct","D"
"234","100",0.672267601906834,"aipw","all.covariates.correct","D"
"235","100",0.222434881976081,"tmle","all.covariates.correct","D"
"236","100",0.631168044364649,"causal.forest","minimal.set","D"
"237","100",0.7570330203747,"ipw","minimal.set","D"
"238","100",0.724318688866811,"t-learner","minimal.set","D"
"239","100",0.825567754074186,"aipw","minimal.set","D"
"240","100",0.465069796528207,"tmle","minimal.set","D"
"241","100",0.74406193733432,"causal.forest","all.covariates.wrong","A"
"242","100",1.07368437972085,"ipw","all.covariates.wrong","A"
"243","100",0.872967848841274,"t-learner","all.covariates.wrong","A"
"244","100",0.867627274876976,"aipw","all.covariates.wrong","A"
"245","100",0.606230696830768,"tmle","all.covariates.wrong","A"
"246","100",0.70270628725238,"causal.forest","all.covariates.correct","A"
"247","100",1.12731417587692,"ipw","all.covariates.correct","A"
"248","100",0.870346773320275,"t-learner","all.covariates.correct","A"
"249","100",0.892093530891564,"aipw","all.covariates.correct","A"
"250","100",0.610489214824138,"tmle","all.covariates.correct","A"
"251","100",0.551580829015008,"causal.forest","minimal.set","A"
"252","100",1.3019826789521,"ipw","minimal.set","A"
"253","100",0.895452451116355,"t-learner","minimal.set","A"
"254","100",0.855164788890749,"aipw","minimal.set","A"
"255","100",0.631480079067819,"tmle","minimal.set","A"
"256","100",1.00697282216828,"causal.forest","all.covariates.wrong","B"
"257","100",0.921242300075549,"ipw","all.covariates.wrong","B"
"258","100",1.03685225968441,"t-learner","all.covariates.wrong","B"
"259","100",0.979285553656471,"aipw","all.covariates.wrong","B"
"260","100",1.06485496740029,"tmle","all.covariates.wrong","B"
"261","100",0.96609957615444,"causal.forest","all.covariates.correct","B"
"262","100",1.04780222341331,"ipw","all.covariates.correct","B"
"263","100",1.00673240296539,"t-learner","all.covariates.correct","B"
"264","100",0.999030057295963,"aipw","all.covariates.correct","B"
"265","100",1.05475246424084,"tmle","all.covariates.correct","B"
"266","100",1.02237306762343,"causal.forest","minimal.set","B"
"267","100",0.993450513512617,"ipw","minimal.set","B"
"268","100",1.02520462616977,"t-learner","minimal.set","B"
"269","100",1.00007161258062,"aipw","minimal.set","B"
"270","100",1.05661539600246,"tmle","minimal.set","B"
"271","100",-0.0040215580877126,"causal.forest","all.covariates.wrong","C"
"272","100",-0.411623706362629,"ipw","all.covariates.wrong","C"
"273","100",-0.744643793197266,"t-learner","all.covariates.wrong","C"
"274","100",-0.169658759756298,"aipw","all.covariates.wrong","C"
"275","100",0.913068810387535,"tmle","all.covariates.wrong","C"
"276","100",-0.0658086562034787,"causal.forest","all.covariates.correct","C"
"277","100",-0.280263168659515,"ipw","all.covariates.correct","C"
"278","100",-0.584946916820939,"t-learner","all.covariates.correct","C"
"279","100",-0.300731912285705,"aipw","all.covariates.correct","C"
"280","100",1.09137377642199,"tmle","all.covariates.correct","C"
"281","100",0.355139208926387,"causal.forest","minimal.set","C"
"282","100",-1.17402368438583,"ipw","minimal.set","C"
"283","100",-0.570967735125252,"t-learner","minimal.set","C"
"284","100",0.262936915370138,"aipw","minimal.set","C"
"285","100",0.461566132603001,"tmle","minimal.set","C"
"286","100",0.323706199583252,"causal.forest","all.covariates.wrong","D"
"287","100",1.60323837256486,"ipw","all.covariates.wrong","D"
"288","100",0.63200270694996,"t-learner","all.covariates.wrong","D"
"289","100",0.62275632891214,"aipw","all.covariates.wrong","D"
"290","100",-0.120092775581533,"tmle","all.covariates.wrong","D"
"291","100",0.39568630182564,"causal.forest","all.covariates.correct","D"
"292","100",1.20128227810313,"ipw","all.covariates.correct","D"
"293","100",0.737980063972907,"t-learner","all.covariates.correct","D"
"294","100",0.26702039932572,"aipw","all.covariates.correct","D"
"295","100",-0.00702861227691698,"tmle","all.covariates.correct","D"
"296","100",0.0941672500974653,"causal.forest","minimal.set","D"
"297","100",1.12926703845804,"ipw","minimal.set","D"
"298","100",0.667665409874882,"t-learner","minimal.set","D"
"299","100",-0.609419862484878,"aipw","minimal.set","D"
"300","100",0.0833532751942431,"tmle","minimal.set","D"
"301","100",0.689877782152384,"causal.forest","all.covariates.wrong","A"
"302","100",0.848917921888787,"ipw","all.covariates.wrong","A"
"303","100",0.798043088422691,"t-learner","all.covariates.wrong","A"
"304","100",0.848865940533084,"aipw","all.covariates.wrong","A"
"305","100",0.502181001113831,"tmle","all.covariates.wrong","A"
"306","100",0.647895477478188,"causal.forest","all.covariates.correct","A"
"307","100",0.83303669852193,"ipw","all.covariates.correct","A"
"308","100",0.849879936556365,"t-learner","all.covariates.correct","A"
"309","100",0.842868743392875,"aipw","all.covariates.correct","A"
"310","100",0.464661958759659,"tmle","all.covariates.correct","A"
"311","100",0.493038403747307,"causal.forest","minimal.set","A"
"312","100",0.859780316383758,"ipw","minimal.set","A"
"313","100",0.819014982038113,"t-learner","minimal.set","A"
"314","100",0.795334378281435,"aipw","minimal.set","A"
"315","100",0.512502243302187,"tmle","minimal.set","A"
"316","100",0.549226414426925,"causal.forest","all.covariates.wrong","B"
"317","100",0.584628021550009,"ipw","all.covariates.wrong","B"
"318","100",0.536757762954445,"t-learner","all.covariates.wrong","B"
"319","100",0.527924802528557,"aipw","all.covariates.wrong","B"
"320","100",0.654287893109836,"tmle","all.covariates.wrong","B"
"321","100",0.586090800709891,"causal.forest","all.covariates.correct","B"
"322","100",0.611742934045175,"ipw","all.covariates.correct","B"
"323","100",0.584943022251105,"t-learner","all.covariates.correct","B"
"324","100",0.597021925209425,"aipw","all.covariates.correct","B"
"325","100",0.66116903138483,"tmle","all.covariates.correct","B"
"326","100",0.457918110707979,"causal.forest","minimal.set","B"
"327","100",0.718646904155386,"ipw","minimal.set","B"
"328","100",0.492262009472905,"t-learner","minimal.set","B"
"329","100",0.565231541357254,"aipw","minimal.set","B"
"330","100",0.375141339406988,"tmle","minimal.set","B"
"331","100",-0.34479306754266,"causal.forest","all.covariates.wrong","C"
"332","100",-0.697848870950504,"ipw","all.covariates.wrong","C"
"333","100",-0.740054165413418,"t-learner","all.covariates.wrong","C"
"334","100",-0.748114788447843,"aipw","all.covariates.wrong","C"
"335","100",0.76804812996199,"tmle","all.covariates.wrong","C"
"336","100",-0.40898812054315,"causal.forest","all.covariates.correct","C"
"337","100",-0.721846932773956,"ipw","all.covariates.correct","C"
"338","100",-0.713242624920925,"t-learner","all.covariates.correct","C"
"339","100",-0.777778101877775,"aipw","all.covariates.correct","C"
"340","100",0.71125090651805,"tmle","all.covariates.correct","C"
"341","100",0.141623695037193,"causal.forest","minimal.set","C"
"342","100",-0.924881112726818,"ipw","minimal.set","C"
"343","100",-0.721450955651091,"t-learner","minimal.set","C"
"344","100",-0.580433476601118,"aipw","minimal.set","C"
"345","100",0.267928720736479,"tmle","minimal.set","C"
"346","100",0.0462865527902029,"causal.forest","all.covariates.wrong","D"
"347","100",0.345585692068286,"ipw","all.covariates.wrong","D"
"348","100",0.22096314933587,"t-learner","all.covariates.wrong","D"
"349","100",0.19442199055475,"aipw","all.covariates.wrong","D"
"350","100",0.0541527243088397,"tmle","all.covariates.wrong","D"
"351","100",0.00691863099998305,"causal.forest","all.covariates.correct","D"
"352","100",0.266464052556608,"ipw","all.covariates.correct","D"
"353","100",0.308100964669667,"t-learner","all.covariates.correct","D"
"354","100",0.223684667167518,"aipw","all.covariates.correct","D"
"355","100",-0.0198319236621547,"tmle","all.covariates.correct","D"
"356","100",0.0228318798583401,"causal.forest","minimal.set","D"
"357","100",0.535157102516035,"ipw","minimal.set","D"
"358","100",0.171316902689433,"t-learner","minimal.set","D"
"359","100",0.147537607569424,"aipw","minimal.set","D"
"360","100",0.031499118979153,"tmle","minimal.set","D"
"361","100",0.755904464094129,"causal.forest","all.covariates.wrong","A"
"362","100",0.945988543771774,"ipw","all.covariates.wrong","A"
"363","100",0.824605856363283,"t-learner","all.covariates.wrong","A"
"364","100",0.867524115188452,"aipw","all.covariates.wrong","A"
"365","100",0.722498111206356,"tmle","all.covariates.wrong","A"
"366","100",0.726597485789395,"causal.forest","all.covariates.correct","A"
"367","100",0.94801739043771,"ipw","all.covariates.correct","A"
"368","100",0.817094800278062,"t-learner","all.covariates.correct","A"
"369","100",0.875370509029438,"aipw","all.covariates.correct","A"
"370","100",0.693188882990932,"tmle","all.covariates.correct","A"
"371","100",0.623275418430827,"causal.forest","minimal.set","A"
"372","100",1.15325707050008,"ipw","minimal.set","A"
"373","100",0.847470478297891,"t-learner","minimal.set","A"
"374","100",0.850729872788137,"aipw","minimal.set","A"
"375","100",0.67337411417012,"tmle","minimal.set","A"
"376","100",0.702116137451514,"causal.forest","all.covariates.wrong","B"
"377","100",0.805126862408362,"ipw","all.covariates.wrong","B"
"378","100",0.687866856884678,"t-learner","all.covariates.wrong","B"
"379","100",0.70908324167915,"aipw","all.covariates.wrong","B"
"380","100",0.733799399558624,"tmle","all.covariates.wrong","B"
"381","100",0.625439652568224,"causal.forest","all.covariates.correct","B"
"382","100",0.57628331168675,"ipw","all.covariates.correct","B"
"383","100",0.731005185845984,"t-learner","all.covariates.correct","B"
"384","100",0.669648186087957,"aipw","all.covariates.correct","B"
"385","100",0.751876777692225,"tmle","all.covariates.correct","B"
"386","100",0.733177248344938,"causal.forest","minimal.set","B"
"387","100",0.704855133706567,"ipw","minimal.set","B"
"388","100",0.798187864483624,"t-learner","minimal.set","B"
"389","100",0.665321093936691,"aipw","minimal.set","B"
"390","100",0.811446701140546,"tmle","minimal.set","B"
"391","100",0.0553198695526907,"causal.forest","all.covariates.wrong","C"
"392","100",0.104185294843314,"ipw","all.covariates.wrong","C"
"393","100",0.218583194613841,"t-learner","all.covariates.wrong","C"
"394","100",0.0610589572016641,"aipw","all.covariates.wrong","C"
"395","100",0.849172840484931,"tmle","all.covariates.wrong","C"
"396","100",0.246109232861627,"causal.forest","all.covariates.correct","C"
"397","100",0.20223702075079,"ipw","all.covariates.correct","C"
"398","100",0.109074574317691,"t-learner","all.covariates.correct","C"
"399","100",0.105833686476926,"aipw","all.covariates.correct","C"
"400","100",0.808172495296582,"tmle","all.covariates.correct","C"
"401","100",0.767067518910813,"causal.forest","minimal.set","C"
"402","100",0.0409012452475045,"ipw","minimal.set","C"
"403","100",0.211421224233822,"t-learner","minimal.set","C"
"404","100",0.139724206210568,"aipw","minimal.set","C"
"405","100",1.14018315300147,"tmle","minimal.set","C"
"406","100",0.924480223348649,"causal.forest","all.covariates.wrong","D"
"407","100",1.07364661055739,"ipw","all.covariates.wrong","D"
"408","100",1.15495326880578,"t-learner","all.covariates.wrong","D"
"409","100",1.10838895331919,"aipw","all.covariates.wrong","D"
"410","100",0.403478038410163,"tmle","all.covariates.wrong","D"
"411","100",0.925455964458127,"causal.forest","all.covariates.correct","D"
"412","100",0.882242172606161,"ipw","all.covariates.correct","D"
"413","100",1.11565142363436,"t-learner","all.covariates.correct","D"
"414","100",0.943850876276062,"aipw","all.covariates.correct","D"
"415","100",0.685111173197784,"tmle","all.covariates.correct","D"
"416","100",0.666796654730833,"causal.forest","minimal.set","D"
"417","100",1.21243983336462,"ipw","minimal.set","D"
"418","100",0.999507887709199,"t-learner","minimal.set","D"
"419","100",1.09983792051164,"aipw","minimal.set","D"
"420","100",0.661063233784382,"tmle","minimal.set","D"
"421","100",0.467439424858961,"causal.forest","all.covariates.wrong","A"
"422","100",0.910219219838806,"ipw","all.covariates.wrong","A"
"423","100",0.670935856081987,"t-learner","all.covariates.wrong","A"
"424","100",0.651523766412057,"aipw","all.covariates.wrong","A"
"425","100",0.518093321916116,"tmle","all.covariates.wrong","A"
"426","100",0.489172323523462,"causal.forest","all.covariates.correct","A"
"427","100",1.1356108639702,"ipw","all.covariates.correct","A"
"428","100",0.6846331709098,"t-learner","all.covariates.correct","A"
"429","100",0.686163358437066,"aipw","all.covariates.correct","A"
"430","100",0.492983764361058,"tmle","all.covariates.correct","A"
"431","100",0.377519111510018,"causal.forest","minimal.set","A"
"432","100",1.17514921914327,"ipw","minimal.set","A"
"433","100",0.703474079755442,"t-learner","minimal.set","A"
"434","100",0.627743154286922,"aipw","minimal.set","A"
"435","100",0.314543714935988,"tmle","minimal.set","A"
"436","100",0.616452236629472,"causal.forest","all.covariates.wrong","B"
"437","100",0.41479407850254,"ipw","all.covariates.wrong","B"
"438","100",0.4453122984956,"t-learner","all.covariates.wrong","B"
"439","100",0.394250701414184,"aipw","all.covariates.wrong","B"
"440","100",0.66977335480138,"tmle","all.covariates.wrong","B"
"441","100",0.507230141743417,"causal.forest","all.covariates.correct","B"
"442","100",0.412802479271335,"ipw","all.covariates.correct","B"
"443","100",0.504840453209345,"t-learner","all.covariates.correct","B"
"444","100",0.417900031463735,"aipw","all.covariates.correct","B"
"445","100",0.644793767829746,"tmle","all.covariates.correct","B"
"446","100",0.514733747702563,"causal.forest","minimal.set","B"
"447","100",0.431377136495109,"ipw","minimal.set","B"
"448","100",0.433305558185403,"t-learner","minimal.set","B"
"449","100",0.365615948484916,"aipw","minimal.set","B"
"450","100",0.562409513678115,"tmle","minimal.set","B"
"451","100",-0.0232781343049393,"causal.forest","all.covariates.wrong","C"
"452","100",-0.0630416663949673,"ipw","all.covariates.wrong","C"
"453","100",-0.289654897821762,"t-learner","all.covariates.wrong","C"
"454","100",-0.27951478921036,"aipw","all.covariates.wrong","C"
"455","100",0.719140078613742,"tmle","all.covariates.wrong","C"
"456","100",0.0909592494026653,"causal.forest","all.covariates.correct","C"
"457","100",-0.659183836235446,"ipw","all.covariates.correct","C"
"458","100",-0.343915344169055,"t-learner","all.covariates.correct","C"
"459","100",-0.400075192538006,"aipw","all.covariates.correct","C"
"460","100",0.848200014546438,"tmle","all.covariates.correct","C"
"461","100",0.669219481089677,"causal.forest","minimal.set","C"
"462","100",0.0122858929528226,"ipw","minimal.set","C"
"463","100",-0.436356795839193,"t-learner","minimal.set","C"
